36.7,0.114,0.312,0.463,0.006,0,6.19
35.1,0.103,0.317,0.474,0.179,0,6.19
34.7,0.093,0.302,0.439,0.522,0,6.19
35.9,0.089,0.268,0.455,0.605,0.057,5.94
35.7,0.088,0.243,0.5,0.306,0,5.94
35.1,0.083,0.226,0.475,0.037,0,5.94
34,0.084,0.219,0.441,0.001,0,5.94
32.3,0.083,0.218,0.441,0.123,0,5.94
31.2,0.081,0.217,0.474,0.472,0,5.94
31,0.087,0.221,0.497,0.647,0,5.94
29.4,0.1,0.227,0.53,0.396,0,5.94
30,0.119,0.237,0.489,0.074,0,5.94
33.3,0.136,0.251,0.482,0,0.006,5.94
36.4,0.149,0.266,0.513,0.077,0.028,5.94
38.5,0.158,0.279,0.528,0.409,0.047,5.94
39.4,0.162,0.281,0.556,0.669,0.063,5.94
38.8,0.166,0.275,0.543,0.489,0.064,5.94
38.6,0.176,0.266,0.561,0.127,0.052,5.94
39,0.188,0.253,0.567,0.001,0.033,5.94
41.9,0.199,0.243,0.578,0.041,0.011,5.94
43.5,0.204,0.242,0.542,0.338,0,5.94
42.8,0.212,0.253,0.557,0.667,0,5.94
41.2,0.216,0.27,0.592,0.578,0,5.94
39.6,0.22,0.289,0.596,0.198,0,5.94
37.4,0.227,0.301,0.623,0.006,0,5.94
34.9,0.241,0.308,0.597,0.018,0,5.94
33.3,0.253,0.31,0.546,0.264,0,5.94
34.8,0.256,0.302,0.594,0.643,0,5.59
35.2,0.248,0.288,0.554,0.656,0,5.59
35,0.228,0.277,0.548,0.283,0,5.59
34.2,0.207,0.272,0.567,0.022,0,5.59
33,0.187,0.269,0.549,0.005,0,5.59
33.2,0.171,0.266,0.525,0.192,0,5.59
36.9,0.161,0.263,0.554,0.596,0,5.59
42.3,0.153,0.26,0.505,0.718,0,5.59
44.9,0.154,0.259,0.491,0.381,0,5.59
46.5,0.147,0.258,0.491,0.051,0.003,5.59
46.9,0.136,0.259,0.491,0,0.014,5.59
47.4,0.125,0.257,0.454,0.129,0.026,5.59
47.5,0.114,0.248,0.458,0.531,0.036,5.59
47.2,0.102,0.236,0.464,0.758,0.039,5.59
47.5,0.093,0.227,0.385,0.484,0.035,5.59
47.5,0.09,0.222,0.393,0.098,0.024,5.59
50,0.089,0.22,0.407,0,0.009,5.59
50.7,0.081,0.229,0.417,0.077,0.001,5.59
49,0.076,0.25,0.407,0.452,0,5.59
46.6,0.075,0.257,0.421,0.772,0,5.59
